name_on_source,name_submitted,Precip_Avg
Acacia acanthoclada,Acacia acanthoclada,477
Acacia acinacea,Acacia acinacea,1055.5
Acacia acuminata,Acacia acuminata,644.5
Acacia ancistrocarpa,Acacia ancistrocarpa,815.5
Acacia binata,Acacia binata,507.5
Acacia brachybotrya,Acacia brachybotrya,536.5
Acacia cochlearis,Acacia cochlearis,691.5
Acacia consobrina,Acacia consobrina,489
Acacia constricta,Acacia constricta,1458.5
Acacia cupularis,Acacia cupularis,746
Acacia cyclops,Acacia cyclops,643
Acacia declinata,Acacia declinata,447
Acacia ehrenbergiana,Acacia ehrenbergiana,455
Acacia gerrardii,Acacia gerrardii,804.5
Acacia glaucoptera,Acacia glaucoptera,597.5
Acacia gonophylla,Acacia gonophylla,466
Acacia greggii,Acacia greggii,473.5
Acacia harveyi,Acacia harveyi,630.5
Acacia hilliana,Acacia hilliana,619
Acacia inaequilatera,Acacia inaequilatera,427
Acacia lasiocalyx,Acacia lasiocalyx,653
Acacia ligulata,Acacia ligulata,777.5
Acacia maxwellii,Acacia maxwellii,608
Acacia microbotrya,Acacia microbotrya,684.5
Acacia myrtifolia,Acacia myrtifolia,1244
Acacia patagiata,Acacia patagiata,443.5
Acacia pinguiculosa,Acacia pinguiculosa,503
Acacia pulchella,Acacia pulchella,752.5
Acacia pycnantha,Acacia pycnantha,1024.5
Acacia redolens,Acacia redolens,586
Acacia saligna,Acacia saligna,1319.5
Acacia sphacelata,Acacia sphacelata,580.5
Acacia stellaticeps,Acacia stellaticeps,713.5
Acacia stipuligera,Acacia stipuligera,764
Acacia subcaerulea,Acacia subcaerulea,652.5
Acacia sulcata,Acacia sulcata,791
Acacia tetragonophylla,Acacia tetragonophylla,494.5
Acacia tortilis,Acacia tortilis,621.5
Acacia varia,Acacia varia,755.5
Achillea collina,Achillea collina,1120
Achillea millefolium,Achillea millefolium,2124.5
Achillea nobilis,Achillea nobilis,1575
Achnatherum hymenoides,Achnatherum hymenoides,696
Achnatherum lemmonii,Achnatherum lemmonii,1282.5
Achnatherum thurberianum,Achnatherum thurberianum,786
Actinostrobus pyramidalis,Actinostrobus pyramidalis,956.5
Agrimonia eupatoria,Agrimonia eupatoria,1548
Agriophyllum squarrosum,Agriophyllum squarrosum,347.5
Agropyron caninum,Agropyron caninum,1406
Agropyron cristatum,Agropyron cristatum,961.5
Agropyron smithii,Agropyron smithii,1372
Agropyron spp,Agropyron spp,
Agropyron trachycaulum,Agropyron trachycaulum,933.5
Agrostis capillaris,Agrostis capillaris,2963
Aizoon canariense,Aizoon canariense,601.5
Allium textile,Allium textile,484
Allocasuarina acutivalvis,Allocasuarina acutivalvis,530
Allocasuarina huegeliana,Allocasuarina huegeliana,2331
Allocasuarina humilis,Allocasuarina humilis,748
Allocasuarina lehmanniana,Allocasuarina lehmanniana,1058.5
Allocasuarina luehmannii,Allocasuarina luehmannii,1407.5
Allocasuarina thuyoides,Allocasuarina thuyoides,696
Allocasuarina verticillata,Allocasuarina verticillata,1349
Amaranthus retroflexus,Amaranthus retroflexus,1354.5
Amburana cearensis,Amburana cearensis,1706.5
Amphibolia rupis-arcuatae,Amphibolia rupis-arcuatae,126
Anacyclus clavatus,Anacyclus clavatus,709
Andropogon gerardii,Andropogon gerardii,1526.5
Anthemis tinctoria,Anthemis tinctoria,1110
Anthospermum spathulatum,Anthospermum spathulatum,581
Anthriscus sylvestris,Anthriscus sylvestris,1509
Anthyllis terniflora,Anthyllis terniflora,481.5
Anthyllis vulneraria,Anthyllis vulneraria,1415
Arctotis acaulis,Arctotis acaulis,694.5
Arenaria serpyllifolia,Arenaria serpyllifolia,1826.5
Argemone polyanthemos,Argemone polyanthemos,673.5
Aristida purpurea,Aristida purpurea,801.5
Armeria maritima,Armeria maritima,1606
Arrhenatherum elatius,Arrhenatherum elatius,2131.5
Artemisia californica,Artemisia californica,920
Artemisia campestris,Artemisia campestris,1984
Artemisia filifolia,Artemisia filifolia,1274.5
Artemisia frigida,Artemisia frigida,891.5
Artemisia ludoviciana,Artemisia ludoviciana,1937
Artemisia nova,Artemisia nova,459.5
Artemisia ordosica,Artemisia ordosica,530.5
Artemisia tridentata,Artemisia tridentata,1416
Asclepias fascicularis,Asclepias fascicularis,1123.5
Aspidosperma pyrifolium,Aspidosperma pyrifolium,1329
Astartea ambigua,Astartea ambigua,499.5
Astragalus bisulcatus,Astragalus bisulcatus,666.5
Astragalus canadensis,Astragalus canadensis,945.5
Astragalus drummondii,Astragalus drummondii,492
Astragalus laxmannii,Astragalus laxmannii,568
Athanasia crithmifolia,Athanasia crithmifolia,660.5
Atriplex canescens,Atriplex canescens,1217.5
Atriplex confertifolia,Atriplex confertifolia,739
Atriplex gardneri,Atriplex gardneri,351.5
Atriplex semibaccata,Atriplex semibaccata,1078.5
Atriplex torreyi,Atriplex torreyi,315.5
Atriplex vesicaria,Atriplex vesicaria,463.5
Atriplex vestita,Atriplex vestita,452
Avena barbata,Avena barbata,1033
Babiana sp.,Babiana sp.,
Bahia dissecta,Bahia dissecta,564.5
Baileya multiradiata,Baileya multiradiata,519.5
Balsamorhiza sagittata,Balsamorhiza sagittata,934
Banksia caleyi,Banksia caleyi,623
Banksia media,Banksia media,829.5
Betonica officinalis,Betonica officinalis,1051.5
Boltonia asteroides,Boltonia asteroides,1425.5
Bouteloua curtipendula,Bouteloua curtipendula,1319
Bouteloua dactyloides,Bouteloua dactyloides,881
Bouteloua eriopoda,Bouteloua eriopoda,1097
Bouteloua gracilis,Bouteloua gracilis,1320
Briza media,Briza media,1407.5
Bromus carinatus,Bromus carinatus,2392.5
Bromus erectus,Bromus erectus,1159
Bromus inermis,Bromus inermis,1415.5
Bromus marginatus,Bromus marginatus,1494.5
Bromus rubens,Bromus rubens,1120
Bromus setifolius,Bromus setifolius,1056
Bunias orientalis,Bunias orientalis,1133.5
Calamovilfa longifolia,Calamovilfa longifolia,712.5
Calandrinia ciliata,Calandrinia ciliata,1514.5
Callitris preissii,Callitris preissii,779
Calothamnus gracilis,Calothamnus gracilis,647.5
Calothamnus quadrifidus,Calothamnus quadrifidus,831
Campanula glomerata,Campanula glomerata,1296
Campanula patula,Campanula patula,1243
Campanula persicifolia,Campanula persicifolia,1176
Campanula rapunculoides,Campanula rapunculoides,1366.5
Cardamine pratensis,Cardamine pratensis,1522.5
Carex aenea,Carex aenea,1676
Carlina vulgaris,Carlina vulgaris,1196.5
Carthamus lanatus,Carthamus lanatus,1037.5
Carum carvi,Carum carvi,1431.5
Castilleja applegatei,Castilleja applegatei,1035
Cenchrus ciliaris,Cenchrus ciliaris,1650
Centaurea jacea,Centaurea jacea,1371.5
Centaurea pannonica,Centaurea pannonica,896.5
Centaurea sadleriana,Centaurea sadleriana,565.5
Centaurea scabiosa,Centaurea scabiosa,1206.5
Centaurea solstitialis,Centaurea solstitialis,1096.5
Centaurea stoebe,Centaurea stoebe,1437.5
Cephalophyllum spissum,Cephalophyllum spissum,169
Cercocarpus montanus,Cercocarpus montanus,1269.5
Cercocarpus,Cercocarpus,
Chaetobromus dregeanus,Chaetobromus dregeanus,312.5
Chaetobromus involucratus,Chaetobromus involucratus,435.5
